Límite tiempo (s),N Simulaciones,Distancia,T total
1,10,460.73,10
2,10,252.78,20
3,10,231.99,30
4,10,226.79,40
5,10,226.79,50
6,10,226.79,60
7,10,226.79,70
8,10,226.79,80
9,10,226.79,90
10,10,226.79,100
1,9,483.61,9
2,9,252.93,18
3,9,234.96,27
4,9,226.79,36
5,9,226.79,45
6,9,226.79,54
7,9,226.79,63
8,9,226.79,72
9,9,226.79,81
10,9,225.54,90
1,8,483.61,8
2,8,264.86,16
3,8,236.87,24
4,8,226.79,32
5,8,226.79,40
6,8,226.79,48
7,8,226.79,56
8,8,226.79,64
9,8,226.79,72
10,8,226.79,80
1,7,441.15,7
2,7,252.77,14
3,7,231.99,21
4,7,226.79,28
5,7,226.79,35
6,7,226.79,42
7,7,226.79,49
8,7,226.79,56
9,7,226.79,63
10,7,226.79,70
1,6,483.61,6
2,6,253.68,12
3,6,231.99,18
4,6,226.79,24
5,6,226.79,30
6,6,226.79,36
7,6,226.79,42
8,6,226.79,48
9,6,226.79,54
10,6,225.27,60
1,5,467.02,5
2,5,264.86,10
3,5,234.96,15
4,5,226.79,20
5,5,226.79,25
6,5,226.79,30
7,5,226.79,35
8,5,226.79,40
9,5,226.79,45
10,5,225.54,50
1,4,483.61,4
2,4,273.39,8
3,4,234.96,12
4,4,226.79,16
5,4,226.79,20
6,4,226.79,24
7,4,226.79,28
8,4,226.79,32
9,4,226.79,36
10,4,225.54,40
1,3,488.7,3
2,3,264.57,6
3,3,234.96,9
4,3,226.79,12
5,3,226.79,15
6,3,226.79,18
7,3,226.79,21
8,3,226.79,24
9,3,226.79,27
10,3,225.54,30
1,2,488.77,2
2,2,256.95,4
3,2,234.96,6
4,2,231.99,8
5,2,226.79,10
6,2,226.79,12
7,2,226.79,14
8,2,226.79,16
9,2,226.79,18
10,2,226.79,20
1,1,483.61,1
2,1,287.43,2
3,1,234.96,3
4,1,226.79,4
5,1,226.79,5
6,1,226.79,6
7,1,226.79,7
8,1,226.79,8
9,1,226.79,9
10,1,226.79,10
